,Proliferation,,,
TCGA-D8-A1Y2,-0.250986164,,,
TCGA-LL-A440,-0.455431616,,,
TCGA-D8-A141,-0.401235567,,,
TCGA-E9-A1RB,0.170087483,,,
TCGA-EW-A1PC,0.155505244,,,
TCGA-A8-A081,0.075122306,,,
TCGA-E2-A1II,-0.016299186,,,
TCGA-A7-A3RF,-0.328626107,,,
TCGA-AO-A124,0.117291553,,,
TCGA-BH-A1FJ,0.149221941,,,
TCGA-AO-A03V,-0.312374843,,,
TCGA-B6-A0X1,-0.000675297,,,
TCGA-BH-A0WA,0.07391171,,,
TCGA-AR-A24S,0.021916134,,,
TCGA-A8-A08X,-0.262023225,,,
TCGA-A8-A07P,-0.167887975,,,
TCGA-E9-A5UP,-0.389271081,,,
TCGA-PE-A5DC,-0.173949267,,,
TCGA-C8-A12M,-0.177570865,,,
TCGA-BH-A0HF,-0.399989398,,,
TCGA-AR-A1AK,-0.375441889,,,
TCGA-A2-A0SX,0.045142657,,,
TCGA-BH-A0HB,-0.148095128,,,
TCGA-3C-AAAU,-0.063223081,,,
TCGA-A2-A0YL,-0.234812495,,,
TCGA-AN-A0FY,0.160829051,,,
TCGA-AR-A0TZ,0.189039698,,,
TCGA-A7-A0CD,0.014127801,,,
TCGA-AN-A041,-0.050535093,,,
TCGA-A2-A3KC,-0.337695809,,,
TCGA-BH-A0BT,-0.33722276,,,
TCGA-A8-A07G,-0.382787775,,,
TCGA-A8-A0A4,-0.325321198,,,
TCGA-BH-A18K,-0.207931709,,,
TCGA-AR-A24R,0.081311883,,,
TCGA-BH-A5IZ,0.014320871,,,
TCGA-D8-A1JL,0.073085941,,,
TCGA-B6-A0RV,-0.272583958,,,
TCGA-EW-A1IZ,-0.253518448,,,
TCGA-A1-A0SG,-0.380777487,,,
TCGA-AR-A0TR,-0.157392918,,,
TCGA-E2-A1LK,-0.225158256,,,
TCGA-E2-A1L7,0.028929392,,,
TCGA-BH-A0B2,-0.49934541,,,
TCGA-A2-A1G4,0.144833859,,,
TCGA-AN-A0AL,-0.013962353,,,
TCGA-BH-A18I,-0.041205831,,,
TCGA-AN-A046,-0.294443694,,,
TCGA-OL-A5RV,-0.457613136,,,
TCGA-A8-A092,0.132047517,,,
TCGA-LQ-A4E4,-0.23924748,,,
TCGA-A8-A090,-0.050818322,,,
TCGA-A2-A04W,-0.358851414,,,
TCGA-3C-AALK,-0.348553938,,,
TCGA-AC-A3YI,-0.498655317,,,
TCGA-D8-A1JN,-0.422657568,,,
TCGA-A8-A06X,-0.089165923,,,
TCGA-EW-A1PF,-0.386988526,,,
TCGA-BH-A1F0,0.066635754,,,
TCGA-AC-A2QI,-0.444159881,,,
TCGA-BH-A28Q,-0.234123194,,,
TCGA-E2-A1BC,-0.507735516,,,
TCGA-E9-A1R5,-0.229087862,,,
TCGA-BH-A0BG,0.037102528,,,
TCGA-E9-A1R6,-0.102131376,,,
TCGA-BH-A1EO,-0.344350353,,,
TCGA-E2-A15P,-0.307585785,,,
TCGA-AC-A3BB,-0.467235241,,,
TCGA-C8-A12Q,-0.050279123,,,
TCGA-BH-AB28,-0.338898676,,,
TCGA-A8-A07S,0.014256335,,,
TCGA-BH-A0DD,0.13991854,,,
TCGA-E9-A22D,0.112925637,,,
TCGA-BH-A0AU,-0.207614019,,,
TCGA-E9-A247,0.034077553,,,
TCGA-A2-A0T7,-0.164561755,,,
TCGA-AO-A0J8,-0.26465541,,,
TCGA-PL-A8LZ,-0.065271921,,,
TCGA-BH-A209,0.125718787,,,
TCGA-BH-A0EB,-0.366503008,,,
TCGA-EW-A1P1,-0.431895447,,,
TCGA-D8-A1XK,0.188660036,,,
TCGA-AR-A24L,-0.002876265,,,
TCGA-AC-A8OR,-0.420166975,,,
TCGA-B6-A40C,-0.051282965,,,
TCGA-A8-A08T,-0.292694906,,,
TCGA-BH-A18R,0.125801682,,,
TCGA-BH-A1F5,-0.141403618,,,
TCGA-E2-A1AZ,-0.133666912,,,
TCGA-5L-AAT1,-0.566137189,,,
TCGA-BH-A0DZ,-0.324987744,,,
TCGA-OK-A5Q2,-0.296449308,,,
TCGA-A8-A093,-0.223688582,,,
TCGA-A2-A0CS,-0.401667091,,,
TCGA-E9-A295,-0.430161069,,,
TCGA-A8-A09X,-0.01102216,,,
TCGA-OL-A5RU,-0.495686815,,,
TCGA-AO-A0JI,-0.151781901,,,
TCGA-A2-A0T2,-0.312657373,,,
TCGA-AN-A0XS,-0.355898289,,,
TCGA-B6-A1KC,-0.006745768,,,
TCGA-E9-A1R0,-0.212604572,,,
TCGA-A8-A09Z,-0.182610376,,,
TCGA-C8-A1HM,0.101356595,,,
TCGA-A2-A1G6,-0.4104296,,,
