,Stemness,,,,,,,,,
TCGA-49-AARR,-0.481769133,,,,,,,,,
TCGA-49-4490,-0.455375359,,,,,,,,,
TCGA-78-8662,0.015863246,,,,,,,,,
TCGA-49-4506,0.240401126,,,,,,,,,
TCGA-55-6975,0.165660294,,,,,,,,,
TCGA-49-4501,-0.01887281,,,,,,,,,
TCGA-69-8255,0.348985836,,,,,,,,,
TCGA-05-4422,-0.075115952,,,,,,,,,
TCGA-86-A4D0,0.125013719,,,,,,,,,
TCGA-44-7667,0.239618612,,,,,,,,,
TCGA-78-7152,-0.327793143,,,,,,,,,
TCGA-69-8254,-0.241404343,,,,,,,,,
TCGA-62-A471,0.046100791,,,,,,,,,
TCGA-62-A46S,-0.345686685,,,,,,,,,
TCGA-78-7159,0.101760825,,,,,,,,,
TCGA-50-5939,0.006275546,,,,,,,,,
TCGA-44-3396,0.366976417,,,,,,,,,
TCGA-62-8398,0.123965008,,,,,,,,,
TCGA-97-A4M7,-0.301086574,,,,,,,,,
TCGA-44-6775,0.095349016,,,,,,,,,
TCGA-05-4430,0.158993224,,,,,,,,,
TCGA-38-4627,0.193865505,,,,,,,,,
TCGA-53-7624,0.213769602,,,,,,,,,
TCGA-73-4675,-0.299090881,,,,,,,,,
TCGA-91-6848,0.402844234,,,,,,,,,
TCGA-44-7660,0.084124669,,,,,,,,,
TCGA-55-A493,0.151173663,,,,,,,,,
TCGA-73-7498,-0.407256717,,,,,,,,,
TCGA-69-7761,0.085988686,,,,,,,,,
TCGA-05-5423,-0.132624584,,,,,,,,,
TCGA-L9-A444,-0.317078992,,,,,,,,,
TCGA-44-3919,0.255417248,,,,,,,,,
TCGA-55-8090,-0.052580413,,,,,,,,,
TCGA-55-1595,0.164371789,,,,,,,,,
TCGA-55-6642,0.060029716,,,,,,,,,
TCGA-55-8615,-0.368915,,,,,,,,,
TCGA-99-AA5R,-0.367754714,,,,,,,,,
TCGA-95-7948,-0.125771553,,,,,,,,,
TCGA-97-8176,0.018495666,,,,,,,,,
TCGA-78-7153,-0.15945955,,,,,,,,,
TCGA-44-3918,0.361619224,,,,,,,,,
TCGA-75-6212,-0.234807807,,,,,,,,,
TCGA-55-8619,-0.317829302,,,,,,,,,
TCGA-97-8171,-0.056938175,,,,,,,,,
TCGA-50-8460,-0.387077805,,,,,,,,,
TCGA-86-7954,0.239855867,,,,,,,,,
TCGA-38-4626,0.077358987,,,,,,,,,
TCGA-55-6978,0.478754307,,,,,,,,,
TCGA-97-7941,-0.405130546,,,,,,,,,
TCGA-86-8074,0.283516823,,,,,,,,,
TCGA-44-6147,-0.449322117,,,,,,,,,
TCGA-78-7163,-0.200648079,,,,,,,,,
TCGA-95-7562,0.328598387,,,,,,,,,
TCGA-93-A4JN,-0.184421902,,,,,,,,,
TCGA-55-8620,-0.013801761,,,,,,,,,
