,Stemness,,,,
TCGA-E9-A1RH,0.296135498,,,,
TCGA-A8-A09A,-0.229158277,,,,
TCGA-A8-A091,-0.174813108,,,,
TCGA-AC-A23H,0.056837559,,,,
TCGA-A7-A13H,-0.448768488,,,,
TCGA-B6-A400,0.051365033,,,,
TCGA-D8-A1Y2,0.334042341,,,,
TCGA-LL-A440,-0.341481522,,,,
TCGA-D8-A141,-0.02418904,,,,
TCGA-E9-A1RB,0.299471984,,,,
TCGA-EW-A1PC,0.141163887,,,,
TCGA-A8-A081,0.064056073,,,,
TCGA-E2-A1II,0.387389833,,,,
TCGA-A7-A3RF,-0.416768154,,,,
TCGA-AO-A124,0.277189735,,,,
TCGA-BH-A1FJ,0.095278741,,,,
TCGA-AO-A03V,-0.315489599,,,,
TCGA-B6-A0X1,0.116420128,,,,
TCGA-BH-A0WA,0.283423746,,,,
TCGA-AR-A24S,0.410302788,,,,
TCGA-A8-A08X,-0.013504227,,,,
TCGA-A8-A07P,0.091968753,,,,
TCGA-E9-A5UP,-0.522940968,,,,
TCGA-PE-A5DC,-0.313774501,,,,
TCGA-C8-A12M,-0.155610607,,,,
TCGA-BH-A0HF,-0.088053354,,,,
TCGA-AR-A1AK,-0.16866963,,,,
TCGA-A2-A0SX,0.209185646,,,,
TCGA-BH-A0HB,-0.12637636,,,,
TCGA-3C-AAAU,-0.391288317,,,,
TCGA-A2-A0YL,0.099167153,,,,
TCGA-AN-A0FY,0.09961873,,,,
TCGA-AR-A0TZ,0.007380068,,,,
TCGA-A7-A0CD,-0.045959468,,,,
TCGA-AN-A041,-0.165375952,,,,
TCGA-A2-A3KC,-0.230688967,,,,
TCGA-BH-A0BT,-0.249380333,,,,
TCGA-A8-A07G,0.007658981,,,,
TCGA-A8-A0A4,-0.205618157,,,,
TCGA-BH-A18K,0.035202789,,,,
TCGA-AR-A24R,-0.050645262,,,,
TCGA-BH-A5IZ,0.048410866,,,,
TCGA-D8-A1JL,0.403847355,,,,
