,Proliferation,,,,,,,,
TCGA-55-6975,-0.074553741,,,,,,,,
TCGA-49-4501,-0.273716674,,,,,,,,
TCGA-69-8255,0.161144101,,,,,,,,
TCGA-05-4422,-0.083252862,,,,,,,,
TCGA-86-A4D0,0.13143742,,,,,,,,
TCGA-44-7667,0.1820985,,,,,,,,
TCGA-78-7152,-0.398413358,,,,,,,,
TCGA-69-8254,-0.237291814,,,,,,,,
TCGA-62-A471,0.075022359,,,,,,,,
TCGA-62-A46S,-0.383486931,,,,,,,,
TCGA-78-7159,0.016198972,,,,,,,,
TCGA-50-5939,-0.206507806,,,,,,,,
TCGA-44-3396,0.163710023,,,,,,,,
TCGA-62-8398,0.102912207,,,,,,,,
TCGA-97-A4M7,-0.365341913,,,,,,,,
TCGA-44-6775,-0.16734274,,,,,,,,
TCGA-05-4430,-0.22109618,,,,,,,,
TCGA-38-4627,-0.337242678,,,,,,,,
TCGA-53-7624,0.125329518,,,,,,,,
TCGA-73-4675,-0.258871074,,,,,,,,
TCGA-91-6848,-0.018741192,,,,,,,,
TCGA-44-7660,0.056289091,,,,,,,,
TCGA-55-A493,0.053034218,,,,,,,,
TCGA-73-7498,-0.34637003,,,,,,,,
TCGA-69-7761,-0.018437799,,,,,,,,
TCGA-05-5423,-0.383431413,,,,,,,,
TCGA-L9-A444,-0.34607889,,,,,,,,
TCGA-44-3919,0.018343949,,,,,,,,
TCGA-55-8090,0.014420471,,,,,,,,
TCGA-55-1595,0.155882723,,,,,,,,
TCGA-55-6642,-0.226827599,,,,,,,,
TCGA-55-8615,-0.261459935,,,,,,,,
TCGA-99-AA5R,-0.478248778,,,,,,,,
TCGA-95-7948,-0.184068195,,,,,,,,
TCGA-97-8176,-0.023912747,,,,,,,,
TCGA-78-7153,-0.172610795,,,,,,,,
TCGA-44-3918,-0.103472339,,,,,,,,
TCGA-75-6212,-0.429714236,,,,,,,,
TCGA-55-8619,-0.50836155,,,,,,,,
TCGA-97-8171,0.060755952,,,,,,,,
TCGA-50-8460,-0.420773591,,,,,,,,
TCGA-86-7954,0.084692886,,,,,,,,
TCGA-38-4626,-0.202219892,,,,,,,,
TCGA-55-6978,0.149975705,,,,,,,,
TCGA-97-7941,-0.445365881,,,,,,,,
TCGA-86-8074,0.181660781,,,,,,,,
TCGA-44-6147,-0.450137159,,,,,,,,
TCGA-78-7163,-0.244679599,,,,,,,,
TCGA-95-7562,0.1552755,,,,,,,,
TCGA-93-A4JN,0.003920179,,,,,,,,
TCGA-55-8620,0.023511892,,,,,,,,
TCGA-78-8640,-0.028258307,,,,,,,,
TCGA-73-4666,0.21933425,,,,,,,,
TCGA-69-7978,0.024711081,,,,,,,,
TCGA-97-A4LX,-0.251059903,,,,,,,,
TCGA-55-6543,-0.420149117,,,,,,,,
TCGA-MP-A4TD,-0.363219948,,,,,,,,
TCGA-55-8506,-0.167053923,,,,,,,,
TCGA-49-6761,-0.182463181,,,,,,,,
TCGA-44-2665,-0.166109589,,,,,,,,
TCGA-86-7953,0.153457006,,,,,,,,
TCGA-55-7570,0.155287101,,,,,,,,
TCGA-4B-A93V,-0.083614883,,,,,,,,
TCGA-55-8511,-0.063655125,,,,,,,,
TCGA-78-7162,-0.313653671,,,,,,,,
TCGA-91-6836,0.202022323,,,,,,,,
TCGA-55-7994,0.146409771,,,,,,,,
TCGA-78-7220,0.099226598,,,,,,,,
TCGA-MP-A4TI,0.007253207,,,,,,,,
TCGA-44-A4SS,-0.154438514,,,,,,,,
TCGA-38-4629,0.091453292,,,,,,,,
TCGA-86-8055,-0.063066723,,,,,,,,
TCGA-J2-A4AG,-0.3946957,,,,,,,,
TCGA-05-4427,0.132314399,,,,,,,,
TCGA-44-2661,-0.417844268,,,,,,,,
TCGA-NJ-A55A,-0.501129157,,,,,,,,
TCGA-73-4659,0.154632213,,,,,,,,
TCGA-55-7725,-0.363886068,,,,,,,,
TCGA-49-AAR0,-0.273330017,,,,,,,,
TCGA-O1-A52J,-0.353781298,,,,,,,,
TCGA-44-6774,-0.378075664,,,,,,,,
TCGA-78-8655,-0.37707384,,,,,,,,
TCGA-55-6968,0.103032039,,,,,,,,
TCGA-97-8175,-0.017500861,,,,,,,,
TCGA-50-5931,0.088406635,,,,,,,,
TCGA-55-A48X,-0.369579965,,,,,,,,
TCGA-49-AARN,-0.412950681,,,,,,,,
TCGA-55-8097,-0.358465444,,,,,,,,
TCGA-75-7031,-0.296661036,,,,,,,,
TCGA-50-6591,0.121962976,,,,,,,,
TCGA-55-8091,-0.285897264,,,,,,,,
TCGA-67-3772,-0.370010951,,,,,,,,
TCGA-69-7980,-0.0054951,,,,,,,,
TCGA-55-8207,-0.361496965,,,,,,,,
TCGA-86-8279,0.112156075,,,,,,,,
TCGA-50-7109,-0.029262663,,,,,,,,
TCGA-44-7661,0.15349973,,,,,,,,
TCGA-05-5715,-0.373021208,,,,,,,,
TCGA-05-4418,0.01914325,,,,,,,,
TCGA-44-7669,0.198352092,,,,,,,,
TCGA-44-2657,-0.427662934,,,,,,,,
TCGA-97-A4M3,-0.312811022,,,,,,,,
TCGA-05-4420,0.122768237,,,,,,,,
TCGA-95-7944,0.064870404,,,,,,,,
TCGA-44-6148,-0.471922286,,,,,,,,
TCGA-49-4494,0.050690588,,,,,,,,
TCGA-L9-A743,-0.246354602,,,,,,,,
TCGA-55-6969,0.118819507,,,,,,,,
TCGA-05-4415,0.163091693,,,,,,,,
TCGA-67-6217,-0.465311594,,,,,,,,
TCGA-L4-A4E6,-0.490292567,,,,,,,,
TCGA-44-A479,-0.221036177,,,,,,,,
TCGA-55-6982,-0.359426893,,,,,,,,
TCGA-55-8089,0.117644953,,,,,,,,
TCGA-55-7284,-0.365915201,,,,,,,,
